,marca,nombre,version,link_contacto,nombre_contacto,ubicacion,segmento,ano,combustible,kilometraje,precio,permuta_por_menor,permuta_por_mayor,ultima_actualizacion,provincia,visitas,equipamiento,comentarios_vendedor,day,Volante regulable,Faros regulables desde el interior,Sistema de frenado automático,Caja automática,Butacas calefaccionadas,GPS,Espejo central antideslumbrante,Frenos ABS,No Especificado,Butacas de cuero,Motor Turbo,Anclaje de asientos infantiles (Isofix),Dirección asistida,Comandos en el volante / satelital,Sensor de luz,Llantas de Aleación,Computadora de abordo,Frenos de disco en las cuatro ruedas,Control de estabilidad (ESP),Airbags,Sensor de estacionamiento,Volante de cuero,Sensor de lluvia,Entrada USB / Auxiliar,Espejos exteriores retractiles eléctricos,Sistema de alerta de ángulo muerto,Faros direccionales,Rueda de auxilio de igual medida,Espejos eléctricos,Traba para niños,Reproduce CD / DVD,Aire acondicionado,Alarma,Control de velocidad crucero,Cierre centralizado,Camara de estacionamiento trasera,Sistema de sonido de alto rendimiento,Techo panoramico o corredizo,Vidrios eléctricos,Asistente de arranque en pendientes,Doble tracción / 4x4,Control de tracción,Butacas eléctricas,Cierre de puertas y encendido sin llave,Control de presion de neumáticos,Climatizador automático,Limpia/lava faros,Bluetooth,Faros antiniebla,Faros de Xenon,Estacionamiento automático
10,Chevrolet,Chevrolet Classic, LS 1.4 N 4ptas ABS AB,,Gabriel,"Mendoza, Rivadavia",Autos Usados,2016,GNC,125000 Km,$ 1.300.000,SI,SI,Ayer,Mendoza,43,No Especificado,"UNICO DUEÑO MUY BUEN ESTADO, GNC 4ta GENERACION, PERMUTO, FINACIO HASTA 50% VALOR DEL VEHICULO",2022-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Chevrolet,Chevrolet Onix, LTZ 1.4 (L17),,Grupo Goldstein,"Mendoza, Capital",Autos Usados,2019,Nafta,19070 Km,$ 3.050.000,SI,NO,Ayer,Mendoza,15,"Aire acondicionado, Dirección asistida, Vidrios eléctricos, Volante regulable, Computadora de abordo, Espejos eléctricos, Faros antiniebla, Sensor de estacionamiento, Llantas de Aleación, Alarma, Frenos ABS, Airbags, Traba para niños, Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital, Sistema de sonido de alto rendimiento",Excelente estadoPrecio contado,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
12,Chevrolet,Chevrolet Prisma, LS 1.4 MT JOY+ 98cv (L17),,Gustavo,"Mendoza, Godoy Cruz",Autos Usados,2020,Nafta,51000 Km,$ 2.950.000,SI,NO,Ayer,Mendoza,13,"Aire acondicionado, Dirección asistida, Vidrios eléctricos, Frenos ABS, Airbags, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth",ÚNICA MANO IMPECABLE PERMUTO FINANCIO,2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,Chevrolet,Chevrolet Classic, LS 1.4 N 4ptas Pack,,David,"Mendoza, Tupungato",Autos Usados,2014,GNC,100000 Km,$ 1.350.000,NO,NO,Ayer,Mendoza,6,"Aire acondicionado, Dirección asistida, Cierre centralizado, Alarma, Frenos ABS, Traba para niños, Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar","Segundo Dueño. Cubiertas nuevas. Impecable. Al día, listo para transferir. Particular",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Chevrolet,Chevrolet Onix, LTZ 1.4 98cv,,Cintia,"Mendoza, Godoy Cruz",Autos Usados,2017,Nafta,65000 Km,$ 2.500.000,NO,NO,Hace 5 días,Mendoza,94,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Espejos eléctricos, Faros antiniebla, Faros regulables desde el interior, Faros de Xenon, Sensor de estacionamiento, Alarma, Frenos ABS, Airbags, Traba para niños, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital","Auto en excelente estado. Cómo nuevo, única mano.Sólo tiene 65000 kmTodos los services en concesionario oficial.",2022-06-11,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
15,Chevrolet,Chevrolet Onix, JOY 1.4 LS 98cv (L17),,Orlando,"Mendoza, Capital",Autos Usados,2018,Nafta,22000 Km,$ 2.800.000,NO,NO,Antes de Ayer,Mendoza,3,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Alarma, Frenos ABS, Airbags, Anclaje de asientos infantiles (Isofix), Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth","Única dueña vende Chevrolet Onix Joy 1.4 modelo 2018 con tan solo 22.000 km, igual a nuevo, impecable por donde se lo mire.# Dirección asistida# Aire acondicionado# Levanta cristales eléctricos # Frenos ABS# Airbags# Estero con USB y BluetoothNO PERMUTO / NO FINANCIOPrecio charlable de contado.",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
16,Chevrolet,Chevrolet Classic, LS 1.4 N 4ptas AA,,Daniel,"Buenos Aires, Capital",Autos Usados,2016,GNC,140000 Km,$ 1.250.000,NO,NO,Antes de Ayer,Buenos Aires,3,"Aire acondicionado, Dirección asistida, Volante de cuero, Frenos ABS, Airbags, Traba para niños, Entrada USB / Auxiliar, Bluetooth",Ninguno,2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Chevrolet,Chevrolet Tracker, 1.8 4x2,,Insignia Multimarcas,"Mendoza, Godoy Cruz",Autos Usados,2015,Nafta,72000 Km,$ 3.200.000,SI,SI,Ayer,Mendoza,25,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Faros antiniebla, Llantas de Aleación, Alarma, Frenos ABS, Airbags, Traba para niños, Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital, Sistema de sonido de alto rendimiento","Impecable, sin detalles, único por su estado, permuto financió en cuotas fijas y en pesos.",2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
18,Chevrolet,Chevrolet Classic, LT 1.4 N 4ptas Spirit,,Fernando,"Mendoza, Godoy Cruz",Autos Usados,2013,Nafta,132000 Km,$ 1.250.000,SI,NO,Hoy,Mendoza,71,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Llantas de Aleación, Alarma, Frenos ABS, Airbags, Traba para niños, Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth","Excelente estado, recibo menor, financio solo con DNI",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
19,Chevrolet,Chevrolet Tracker, LTZ 1.2T AT6,,Gaston,"San Juan, Capital",Autos Nuevos,0 Km,Nafta,0 Km,U$ 24.000,SI,NO,Antes de Ayer,San Juan,45,"Climatizador automático, Dirección asistida, Cierre centralizado, Cierre de puertas y encendido sin llave, Vidrios eléctricos, Butacas de cuero, Butacas eléctricas, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Espejos exteriores retractiles eléctricos, Espejo central antideslumbrante, Faros antiniebla, Faros regulables desde el interior, Faros direccionales, Techo panoramico o corredizo, Caja automática, Motor Turbo, Sensor de estacionamiento, Camara de estacionamiento trasera, Sensor de lluvia, Sensor de luz, Llantas de Aleación, Frenos ABS, Frenos de disco en las cuatro ruedas, Airbags, Control de tracción, Control de estabilidad (ESP), Traba para niños, Anclaje de asientos infantiles (Isofix), Sistema de alerta de ángulo muerto, Asistente de arranque en pendientes, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital, GPS",CHEVROLET TRACKER LTZ PATENTADA DICIEMBRE 2021 0km DIGNA DE VER / DUEÑO DIRECTO / VEHÍCULO SE ENCUENTRA EN SAN JUAN,2022-06-11,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0
20,Chevrolet,Chevrolet Onix, JOY 1.4 4ptas Black Plus 98cv (L19),,Fernando,"Mendoza, Godoy Cruz",Autos Usados,2020,Nafta,30000 Km,$ 2.890.000,SI,NO,Hoy,Mendoza,43,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Alarma, Frenos ABS, Airbags, Entrada USB / Auxiliar, Bluetooth","Como 0km, realmente nuevo. Recibo menor (auto), financio solo con DNI.",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
21,Chevrolet,Chevrolet Cobalt, LT 1.8 N 8V MT 105cv,,SOLMAT Automóviles,"Mendoza, Guaymallén",Autos Usados,2013,GNC,145000 Km,$ 1.700.000,SI,SI,Hoy,Mendoza,43,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Alarma, Frenos ABS, Airbags, Traba para niños, Anclaje de asientos infantiles (Isofix), Entrada USB / Auxiliar, Bluetooth","Excelente estado y perfecto funcionamiento. Equipo de gnc de 5ta . Duplicado de llave .Manuales . Papeles al dia . Listo para transferir SOLMAT AUTOMOVILES CON MAS DE 30 AÑOS DE TRAYECTORIA CON EL MEJOR ASESORAMIENTO Y TRANSPARENCIA EN TODAS SUS OPERACIONESATENCIÓN PERSONALIZADAPERMUTAMOSFINANCIAMOS CUOTAS FIJAS EN PESOS . BAJAMOS LAS TASAS!El vehículo esta a disposición del cliente tanto para probarlo como para que sea revisado por su mecánico de confianza.Nos encargamos de realizar ABSOLUTAMENTE TODOS los tramites de ESCRIBANIA Y GESTORIA .  • Aseguramos tu auto con los mejores precios, coberturas y compañías.",2022-06-11,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22,Chevrolet,Chevrolet Tracker, 1.8 4x2,,Automotores Vallcanera,"Mendoza, Luján De Cuyo",Autos Usados,2016,Nafta,97000 Km,$ 3.500.000,SI,SI,Ayer,Mendoza,29,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Faros antiniebla, Llantas de Aleación, Alarma, Frenos ABS, Airbags, Traba para niños, Rueda de auxilio de igual medida, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital, Sistema de sonido de alto rendimiento",Ninguno,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
23,Chevrolet,Chevrolet Spin, LTZ 1.8 7AS 105cv,,Gabriel,"Buenos Aires, Hurlingham",Autos Usados,2017,Nafta,53000 Km,$ 3.000.000,NO,NO,Antes de Ayer,Buenos Aires,13,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Espejos eléctricos, Espejos exteriores retractiles eléctricos, Faros antiniebla, Sensor de estacionamiento, Sensor de luz, Alarma, Frenos ABS, Airbags, Traba para niños, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital","Muy buen estado. Realizado el service de los 50.000km. Tercer fila de asientos originales agregados. Papeles al día, lista para transferir.",2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
24,Chevrolet,Chevrolet Spin, LTZ 1.8 5AS 105cv,,Fausto,"Mendoza, Luján De Cuyo",Autos Usados,2016,Nafta,148000 Km,$ 2.480.000,SI,NO,Hace 8 días,Mendoza,108,"Aire acondicionado, Dirección asistida, Cierre centralizado, Vidrios eléctricos, Volante regulable, Computadora de abordo, Espejos eléctricos, Faros antiniebla, Sensor de estacionamiento, Llantas de Aleación, Alarma, Frenos ABS, Airbags, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth",Unica mano excelente estado digna de versu comsulta no melest,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
25,Chevrolet,Chevrolet Onix, LTZ 1.4 (L17),,Samuel,"Mendoza, Tupungato",Autos Usados,2015,Nafta,133000 Km,$ 2.000.000,NO,NO,Hace 8 días,Mendoza,78,"Aire acondicionado, Cierre centralizado, Vidrios eléctricos, Faros antiniebla, Alarma, Frenos ABS, Airbags, Entrada USB / Auxiliar, Bluetooth","Batería nueva, RTO",2022-06-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
26,Chevrolet,Chevrolet Cruze, II LTZ+ 1.4T AT 5ptas Plus 153cv,,Miguel,"Mendoza, Guaymallén",Autos Usados,2017,Nafta,48000 Km,$ 3.990.000,SI,SI,Hoy,Mendoza,208,"Climatizador automático, Dirección asistida, Cierre centralizado, Cierre de puertas y encendido sin llave, Vidrios eléctricos, Butacas de cuero, Butacas eléctricas, Butacas calefaccionadas, Volante regulable, Volante de cuero, Computadora de abordo, Control de velocidad crucero, Espejos eléctricos, Espejos exteriores retractiles eléctricos, Espejo central antideslumbrante, Faros antiniebla, Faros regulables desde el interior, Faros de Xenon, Faros direccionales, Techo panoramico o corredizo, Caja automática, Motor Turbo, Sensor de estacionamiento, Camara de estacionamiento trasera, Estacionamiento automático, Sensor de lluvia, Sensor de luz, Llantas de Aleación, Alarma, Frenos ABS, Frenos de disco en las cuatro ruedas, Airbags, Control de tracción, Control de estabilidad (ESP), Sistema de frenado automático, Traba para niños, Anclaje de asientos infantiles (Isofix), Sistema de alerta de ángulo muerto, Asistente de arranque en pendientes, Control de presion de neumáticos, Reproduce CD / DVD, Entrada USB / Auxiliar, Bluetooth, Comandos en el volante / satelital, Sistema de sonido de alto rendimiento, GPS",Única mano Manuales de fábrica 2da llave Nuevo Coordinamos la hora y te espero!!,2022-06-11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
27,Chevrolet,Chevrolet Onix, JOY+ 1.4 LS 98cv (L17),http://brionesautomotores.com.ar/,BRIONES Automotores ,"Mendoza, Guaymallén",Autos Usados,2019,Nafta,34000 Km,$ 2.850.000,SI,SI,Ayer,Mendoza,63,No Especificado,"*BRIONES AUTOMOTORES*Somos una agencia de automotores con una larga trayectoria. Brindamos seguridad, garantía y confianza.Contamos con una amplia variedad de vehículos usados seminuevos en excelentes condiciones, seleccionados detalladamente para brindarles a nuestros clientes mercadería exclusiva con el fin de que su compra sea totalmente satisfactoria.Te ofrecemos todas las posibilidades para que puedas acceder a tu seminuevo:- Financiación al 50% sólo con DNI- Recibimos permutas- Recibimos cheques- Recibimos dólares Te esperamos por nuestra agencia para asesorarte con la mejor atención!",2022-06-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Chevrolet,Chevrolet Onix, LT 1.4 98cv,,Gema Automotores,"Mendoza, Capital",Autos Usados,2014,Nafta,88000 Km,$ 2.000.000,SI,NO,Hoy,Mendoza,157,"Aire acondicionado, Dirección asistida, Cierre centralizado, Volante regulable, Alarma, Frenos ABS, Airbags, Entrada USB / Auxiliar, Bluetooth",MENDOCINO. FULL. UNICA MANO. EXCELENTE. PERMUTO. FINANCIO CON DNI DE 6 A 48 CUOTAS FIJAS Y EN PESOS.,2022-06-11,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
